colonia,municipio
Rancho de la Gringa,Soledad de Graciano Sánchez
Rancho Don Carmen,Soledad de Graciano Sánchez
El Refugio,Soledad de Graciano Sánchez
El Papalote,Soledad de Graciano Sánchez
Rancho Juárez,Soledad de Graciano Sánchez
La Crucita,Soledad de Graciano Sánchez
Rancho la Esperanza,Soledad de Graciano Sánchez
Rancho la Esperanza (Filiberto Briseño),Soledad de Graciano Sánchez
Rancho la Ilusión,Soledad de Graciano Sánchez
Rancho las Cuatas (Santa Fe),Soledad de Graciano Sánchez
Rancho las Lomas,Soledad de Graciano Sánchez
Rancho Loredo,Soledad de Graciano Sánchez
Rancho los Buendía,Soledad de Graciano Sánchez
Rancho los Chetes,Soledad de Graciano Sánchez
Rancho los Mendoza,Soledad de Graciano Sánchez
Rancho los Muchachos,Soledad de Graciano Sánchez
Rancho Martínez,Soledad de Graciano Sánchez
Rancho Mendoza,Soledad de Graciano Sánchez
Rancho Palomo,Soledad de Graciano Sánchez
Rancho Rodríguez,Soledad de Graciano Sánchez
Rancho San Andrés (El Ranchito),Soledad de Graciano Sánchez
Rancho San Pedro,Soledad de Graciano Sánchez
Rancho Santa Ana,Soledad de Graciano Sánchez
Rivera Asociados [Granja Avícola],Soledad de Graciano Sánchez
San Bartolo,Soledad de Graciano Sánchez
San Gerardo,Soledad de Graciano Sánchez
San José,Soledad de Graciano Sánchez
San José (El Tízar),Soledad de Graciano Sánchez
San Martín,Soledad de Graciano Sánchez
San Rafael,Soledad de Graciano Sánchez
San Vicente,Soledad de Graciano Sánchez
Santana de Flores,Soledad de Graciano Sánchez
Santo Tomás,Soledad de Graciano Sánchez
Tanque el Aguaje,Soledad de Graciano Sánchez
Triturados Pétreos de San Luis [Trituradora],Soledad de Graciano Sánchez
Saucedo,Soledad de Graciano Sánchez
Ximonco [Granja Porcina],Soledad de Graciano Sánchez
Zamora,Soledad de Graciano Sánchez
Zamorita,Soledad de Graciano Sánchez
Zona de Riego Valle de San Francisco,Soledad de Graciano Sánchez
Cerro de San Pedro,Cerro de San Pedro
Jesús María,Cerro de San Pedro
Monte Caldera,Cerro de San Pedro
Cuesta de Campa,Cerro de San Pedro
Divisadero,Cerro de San Pedro
El Tecolote,Cerro de San Pedro
Calderón,Cerro de San Pedro
Portezuelo,Cerro de San Pedro
Joyita de la Cruz,Cerro de San Pedro
Nueva Zapatilla,Cerro de San Pedro
La Sabanilla (Portezuelo),Cerro de San Pedro
Nuevo Amanecer,Cerro de San Pedro
Planta del Carmen (El Ocho),Cerro de San Pedro
Granjas de la Florida,Cerro de San Pedro
Los Gómez Lado Oriente,Cerro de San Pedro
Granjas de San Francisco,Cerro de San Pedro
Granjas de San Pedro,Cerro de San Pedro
Real del Potosí,Cerro de San Pedro
Ahualulco del Sonido 13 Centro,Ahualulco del Sonido 13
Julián Carrillo,Ahualulco del Sonido 13
Lomas de la Soledad,Ahualulco del Sonido 13
Los Magueyes,Ahualulco del Sonido 13
El Pastillo,Ahualulco del Sonido 13
El Tulillo,Ahualulco del Sonido 13
La Trinidad,Ahualulco del Sonido 13
Los Cerritos,Ahualulco del Sonido 13
Arroyo Blanco,Ahualulco del Sonido 13
Casita Blanca,Ahualulco del Sonido 13
El Epazote,Ahualulco del Sonido 13
El Novillo,Ahualulco del Sonido 13
El Saucito,Ahualulco del Sonido 13
El Soldadillo,Ahualulco del Sonido 13
El Tepozán,Ahualulco del Sonido 13
El Tulillo (San Nicolás),Ahualulco del Sonido 13
La Palma,Ahualulco del Sonido 13
Loma del Becerro,Ahualulco del Sonido 13
Paredes,Ahualulco del Sonido 13
Potrerillos,Ahualulco del Sonido 13
Potrero Agua Bendita,Ahualulco del Sonido 13
San Francisco de los Chávez (Potrerillos),Ahualulco del Sonido 13
San José,Ahualulco del Sonido 13
San Juan de la Hija,Ahualulco del Sonido 13
Tomates,Ahualulco del Sonido 13
Estación Ipiña,Ahualulco del Sonido 13
La Encarnación,Ahualulco del Sonido 13
Cieneguita (Cieneguilla),Ahualulco del Sonido 13
El Aguaje,Ahualulco del Sonido 13
El Mezquite,Ahualulco del Sonido 13
El Paso de la Aguja,Ahualulco del Sonido 13
Francisco Guevara Sifuentes,Ahualulco del Sonido 13
La Candelaria,Ahualulco del Sonido 13
La Cañada de la Cruz,Ahualulco del Sonido 13
La Pila,Ahualulco del Sonido 13
Las Enramadas,Ahualulco del Sonido 13
Las Pilas,Ahualulco del Sonido 13
Los Llanitos,Ahualulco del Sonido 13
Majada Alta,Ahualulco del Sonido 13
Milpillas,Ahualulco del Sonido 13
Nopales Altos,Ahualulco del Sonido 13
Ojo de Agua del Llano,Ahualulco del Sonido 13
Puerto de Duques,Ahualulco del Sonido 13
Alegre,Ahualulco del Sonido 13
Ejido del Centro,Ahualulco del Sonido 13
San Salvador,Ahualulco del Sonido 13
Cañada Grande,Ahualulco del Sonido 13
El Zapote (Cerrito Blanco),Ahualulco del Sonido 13
Tinaja,Ahualulco del Sonido 13
Rincón de Yerbabuena,Ahualulco del Sonido 13
San Antonio Ojo de Agua,Ahualulco del Sonido 13
Yerbabuena,Ahualulco del Sonido 13
Cañada Grande (El Bosque),Ahualulco del Sonido 13
Cañón de Yerbabuena,Ahualulco del Sonido 13
Colonia de la Cruz,Ahualulco del Sonido 13
El Salitre,Ahualulco del Sonido 13
El Salto,Ahualulco del Sonido 13
La Soledad,Ahualulco del Sonido 13
Los Árboles (Colonia de la Cruz),Ahualulco del Sonido 13
Tanque Cañón del Puerto,Ahualulco del Sonido 13
Tanque el Puerto,Ahualulco del Sonido 13
Tierra Prieta,Ahualulco del Sonido 13
Cerrito de Rojas,Ahualulco del Sonido 13
San Juan (San Juan de Coyotillos),Ahualulco del Sonido 13
Santa Teresa,Ahualulco del Sonido 13
Cochinillas,Ahualulco del Sonido 13
Coyotillos,Ahualulco del Sonido 13
El Temazcal,Ahualulco del Sonido 13
El Zapatero,Ahualulco del Sonido 13
Santa Petronilas,Ahualulco del Sonido 13
Pedregal,Ahualulco del Sonido 13
Arenal de Morelos,Ahualulco del Sonido 13
Estancia del Arenal (Arenal Viejo),Ahualulco del Sonido 13
La Higuera,Ahualulco del Sonido 13
La Mesa,Ahualulco del Sonido 13
Las Taponas,Ahualulco del Sonido 13
Puente Mina Blanca,Ahualulco del Sonido 13
Paso Bonito,Ahualulco del Sonido 13
Barrancas,Ahualulco del Sonido 13
La Parada,Ahualulco del Sonido 13
Cerro Blanco,Ahualulco del Sonido 13
Rancho de la Cruz,Ahualulco del Sonido 13
Clavellinas,Ahualulco del Sonido 13
El Durazno,Ahualulco del Sonido 13
El Garabatillal,Ahualulco del Sonido 13
El Pachoncito,Ahualulco del Sonido 13
El Rosal,Ahualulco del Sonido 13
La Crucita,Ahualulco del Sonido 13
La Mezclita,Ahualulco del Sonido 13
Las Mangas,Ahualulco del Sonido 13
Mina Blanca,Ahualulco del Sonido 13
Rancho Viejo,Ahualulco del Sonido 13
San Ignacio,Ahualulco del Sonido 13
Colonia Emiliano Zapata (El Chamizal),Mexquitic de Carmona
Colonia Guadalupes,Mexquitic de Carmona
La Jacoba,Mexquitic de Carmona
Las Mangas Dos,Mexquitic de Carmona
Puerta de Tinajuela,Mexquitic de Carmona
Tanque Grande (Las Mesas),Mexquitic de Carmona
Tanque las Tortugas,Mexquitic de Carmona
San Francisco (Lomas de San Francisco),Mexquitic de Carmona
Valle Umbroso,Mexquitic de Carmona
Cañada Grande,Mexquitic de Carmona
Colonia Progreso,Mexquitic de Carmona
Ejido los Rodríguez (Potrero el Chaparral),Mexquitic de Carmona
Huizachillos,Mexquitic de Carmona
La Cuenca,Mexquitic de Carmona
San Salvador,Mexquitic de Carmona
Puerto de Providencia,Mexquitic de Carmona
San Pedro Ojo Zarco,Mexquitic de Carmona
Buenavista,Mexquitic de Carmona
Ejido de Moras,Mexquitic de Carmona
El Tepozán,Mexquitic de Carmona
Jacalillos,Mexquitic de Carmona
La Cabra,Mexquitic de Carmona
Lechuguillas,Mexquitic de Carmona
Los Pérez,Mexquitic de Carmona
Los Rojas,Mexquitic de Carmona
Los Uribe,Mexquitic de Carmona
Los Vanegas,Mexquitic de Carmona
Tanque Grande,Mexquitic de Carmona
Venadito,Mexquitic de Carmona
Fracción Ojo de Pinto,Mexquitic de Carmona
Palmar Segundo,Mexquitic de Carmona
Los Rodríguez,Mexquitic de Carmona
Los Vázquez,Mexquitic de Carmona
Salitrillo,Mexquitic de Carmona
Cerrito de Estanzuela,Mexquitic de Carmona
Colonia Primero de Enero,Mexquitic de Carmona
El Rodeo,Mexquitic de Carmona
Los Coronado,Mexquitic de Carmona
Los Hernández,Mexquitic de Carmona
Agua Señora,Mexquitic de Carmona
Las Moras,Mexquitic de Carmona
Maravillas,Mexquitic de Carmona
Matancillas,Mexquitic de Carmona
Monte Obscuro,Mexquitic de Carmona
Los Moreno,Mexquitic de Carmona
Estanzuela,Mexquitic de Carmona
La Colorada,Mexquitic de Carmona
Los Retes,Mexquitic de Carmona
Cerrito de Jaral,Mexquitic de Carmona
Cerrito de Maravillas,Mexquitic de Carmona
El Carrillo,Mexquitic de Carmona
Los Órganos,Mexquitic de Carmona
Ojo de Agua,Mexquitic de Carmona
Comunidad Corte Primero,Mexquitic de Carmona
Comunidad de Corte Segundo,Mexquitic de Carmona
El Palmar Primero,Mexquitic de Carmona
Derramaderos,Mexquitic de Carmona
Colonia Molino del Carmen,Mexquitic de Carmona
El Bravo,Mexquitic de Carmona
Lagunillas,Mexquitic de Carmona
Estación Justino,Mexquitic de Carmona
Benito Juárez,Mexquitic de Carmona
El Carrizal,Mexquitic de Carmona
Rincón del Porvenir,Mexquitic de Carmona
Colonia Orilla del Río,Mexquitic de Carmona
Cruces y Carmona,Mexquitic de Carmona
Paisanos,Mexquitic de Carmona
Forja Real,Mexquitic de Carmona
Loma Real,Mexquitic de Carmona
El Jaralito,Mexquitic de Carmona
Paso Blanco,Mexquitic de Carmona
San Marcos (San Marcos Carmona),Mexquitic de Carmona
La Campana,Mexquitic de Carmona
Los López,Mexquitic de Carmona
Milpillas,Mexquitic de Carmona
Suspiro Picacho,Mexquitic de Carmona
La Cruz,Mexquitic de Carmona
La Loma,Mexquitic de Carmona
Ejido Milpillas,Mexquitic de Carmona
El Arbolito,Mexquitic de Carmona
El Entronque,Mexquitic de Carmona
Juan Manuel,Mexquitic de Carmona
La Cueva,Mexquitic de Carmona
Los Jiménez,Mexquitic de Carmona
Rincón de San José,Mexquitic de Carmona
Román Hernández Jacobo,Mexquitic de Carmona
Salitrillo,Mexquitic de Carmona
Ranchería de Guadalupe,Mexquitic de Carmona
Contreras,Mexquitic de Carmona
Agua Prieta,Mexquitic de Carmona
Cenicera,Mexquitic de Carmona
El Cerrito,Mexquitic de Carmona
Cañaditas,Mexquitic de Carmona
Cañón de Ojo Zarco,Mexquitic de Carmona
El Olmo,Mexquitic de Carmona
Fracción Salitrera,Mexquitic de Carmona
Jarillas,Mexquitic de Carmona
La Matanza,Mexquitic de Carmona
La Presita,Mexquitic de Carmona
Los Puertecitos,Mexquitic de Carmona
Temaxcalillo,Mexquitic de Carmona
Ojo Zarco de Arista,Mexquitic de Carmona
San Agustín,Mexquitic de Carmona
Colonia Álvaro Obregón,Mexquitic de Carmona
La Loma de la Cruz,Mexquitic de Carmona
Tanque la Pintada,Mexquitic de Carmona
Cerro Prieto,Mexquitic de Carmona
Morelos,Mexquitic de Carmona
Ejido Miguel Hidalgo,Mexquitic de Carmona
Barbecho,Mexquitic de Carmona
Estancita,Mexquitic de Carmona
Pollitos,Mexquitic de Carmona
La Tapona,Mexquitic de Carmona
Rivera,Mexquitic de Carmona
Ignacio Allende,Mexquitic de Carmona
Iglesia del Desierto,Mexquitic de Carmona
Guadalupe Victoria,Mexquitic de Carmona
Mexquitic de Carmona Centro,Mexquitic de Carmona
El Llanito,Mexquitic de Carmona
Lomas del Pedregal,Mexquitic de Carmona
Bellavista,Mexquitic de Carmona
Revolución,Mexquitic de Carmona
La Playa,Mexquitic de Carmona
Villa de Arriaga Centro,Villa de Arriaga
Ayun,Villa de Arriaga
Clara Cordova,Villa de Arriaga
El Montecillo,Villa de Arriaga
San Miguelito,Villa de Arriaga
El Trompillo,Villa de Arriaga
San Luis Gonzaga,Villa de Arriaga
Santa Rosa de Gallinas,Villa de Arriaga
Cono San Carlos,Villa de Arriaga
El Águila,Villa de Arriaga
El Charquito,Villa de Arriaga
El Con,Villa de Arriaga
El Con de San Bernardo,Villa de Arriaga
El Saucito,Villa de Arriaga
El Saucito (San Isidro),Villa de Arriaga
El Zorrillo,Villa de Arriaga
Estanque el Colorado,Villa de Arriaga
Franco,Villa de Arriaga
Jaramas,Villa de Arriaga
José Valadez,Villa de Arriaga
La Bastilla,Villa de Arriaga
La Mocha,Villa de Arriaga
La Paila (Maravillas),Villa de Arriaga
La Soledad,Villa de Arriaga
La Soledad (De el Águila),Villa de Arriaga
La Virgen,Villa de Arriaga
Las Cuadras,Villa de Arriaga
Llano de la Purísima,Villa de Arriaga
Los Alamitos (El Chacual),Villa de Arriaga
Pablo Martínez,Villa de Arriaga
Providencia de los Hernández,Villa de Arriaga
Rancho el Carmen,Villa de Arriaga
Rancho de Guadalupe,Villa de Arriaga
Refugio de los Campos (La Soledad),Villa de Arriaga
San Agustín,Villa de Arriaga
San Antonio de los López,Villa de Arriaga
San Antonio de los Méndez,Villa de Arriaga
San Bartolo,Villa de Arriaga
San Francisco (San Francisco de los Rentería),Villa de Arriaga
San Isidro,Villa de Arriaga
San Isidro (San Camilo),Villa de Arriaga
San Isidro de los Duarte,Villa de Arriaga
San Jerónimo,Villa de Arriaga
San José,Villa de Arriaga
San José,Villa de Arriaga
San José de Gracia,Villa de Arriaga
San Juan de Guadalupe,Villa de Arriaga
San Juan de las Cuadras,Villa de Arriaga
San Pedro,Villa de Arriaga
San Rafael,Villa de Arriaga
San Rafael de la Laguna,Villa de Arriaga
San Rafael de los Martínez,Villa de Arriaga
Santa Clara de los Bordos,Villa de Arriaga
Santa Rita,Villa de Arriaga
Tanque Nuevo (Rancho Seco),Villa de Arriaga
Colonia la Laborcilla,Villa de Arriaga
Ex-Hacienda de Santiago,Villa de Arriaga
Colonia los Manueles,Villa de Arriaga
Colonia Palomas,Villa de Arriaga
El Jardín de los Cuéllar (Puerta el Jardín),Villa de Arriaga
El Pastor,Villa de Arriaga
El Patol,Villa de Arriaga
El Refugio del Jardín,Villa de Arriaga
La Chancla,Villa de Arriaga
La Lugarda,Villa de Arriaga
La Luz (Los Gutiérrez),Villa de Arriaga
Los Conos,Villa de Arriaga
Los Joyancos,Villa de Arriaga
El Palmar (Puerta de las Chivas),Villa de Arriaga
Santa Lucía,Villa de Arriaga
Tanque de San Juan,Villa de Arriaga
San José de la Purísima,Villa de Arriaga
El Tepetate,Villa de Arriaga
Francisco I. Madero,Villa de Arriaga
El Mezquital,Villa de Arriaga
San Antonio,Villa de Arriaga
Anacleto Betancourt,Villa de Arriaga
Colonia Guadalupe Victoria (Fátima),Villa de Arriaga
El Nivel,Villa de Arriaga
Florencio Ruiz,Villa de Arriaga
Las Norias Anexo el Mezquital (Las Mangas),Villa de Arriaga
Ojo de Agua de Juan Pérez,Villa de Arriaga
Puerto Espino,Villa de Arriaga
Rancho el Milagro,Villa de Arriaga
San Miguelito,Villa de Arriaga
Saucillo,Villa de Arriaga
Saucillo (La Joya),Villa de Arriaga
San Francisco,Villa de Arriaga
Colonia Emiliano Zapata,Villa de Arriaga
El Carmen,Villa de Arriaga
El Jardín,Villa de Arriaga
Jardín de los Matas,Villa de Arriaga
La Candelaria,Villa de Arriaga
La Puerta del Terrero,Villa de Arriaga
La Troje,Villa de Arriaga
San Benito,Villa de Arriaga
Agua Gorda de los Patos,Villa de Arriaga
Anexo al Tepetatillo,Villa de Arriaga
Arnulfo Vázquez Camarillo,Villa de Arriaga
Colonia la Luz,Villa de Arriaga
El Cuartillo,Villa de Arriaga
El Pirulito,Villa de Arriaga
El Saucito,Villa de Arriaga
El Tepetatillo,Villa de Arriaga
Ex-Hacienda San José del Maguey,Villa de Arriaga
Fraccionamiento el Rosario,Villa de Arriaga
Juan Ordaz,Villa de Arriaga
El Maguey,Villa de Arriaga
La Cruz (Armando Campos),Villa de Arriaga
La Laguna Verde,Villa de Arriaga
La Loma,Villa de Arriaga
La Puerta del Refugio,Villa de Arriaga
La Puerta del Rosario,Villa de Arriaga
La Troje,Villa de Arriaga
Las Rebuscas,Villa de Arriaga
Los Pelones,Villa de Arriaga
Melchor,Villa de Arriaga
Providencia,Villa de Arriaga
San Antonio Puerta del Refugio,Villa de Arriaga
San Elías,Villa de Arriaga
San Elías,Villa de Arriaga
San Elías,Villa de Arriaga
San Isidro (San José de Fátima),Villa de Arriaga
San José de Fátima,Villa de Arriaga
San Pablo,Villa de Arriaga
Santa Ana (Los Conos),Villa de Arriaga
De Santiago,Vanegas
La Punta (San José de la Punta),Vanegas
Estación Vanegas Centro,Vanegas
Presa de Santa Ana,Vanegas
Huertecillas,Vanegas
Zaragoza (La Vaca),Vanegas
La Sabanilla,Vanegas
San Juan de Vanegas,Vanegas
Vanegas de Abajo,Vanegas
El Salado (Estación el Salado),Vanegas
El Tepetate,Vanegas
El Gallo,Vanegas
San Vicente,Vanegas
Santa Teresa,Vanegas
Tanque de López,Vanegas
Noria de los Cedros,Vanegas
La Noria de Jesús,Vanegas
San Juan de la Cruz,Vanegas
El Salto Colorado,Vanegas
La Luz,Cedral
Valle de las Flores,Cedral
Cedral Centro,Cedral
Valle Verde,Cedral
Villa de los Sillares,Cedral
Del Valle,Cedral
Progresistas,Cedral
Santa Fe,Cedral
La Unión,Cedral
El Dólar,Cedral
Escritores,Cedral
Antorchista,Cedral
Del Bosque,Cedral
Josefa Ortíz de Dominguez,Cedral
Lázaro Cárdenas,Cedral
Los Cedros,Cedral
Villa las Palmas,Cedral
Emiliano Zapata,Cedral
Domingo Soto,Cedral
San Antonio,Cedral
Antigua Guayulera,Cedral
Francisco I Madero,Cedral
La Victoria,Cedral
Progreso,Cedral
Buenavista,Cedral
Buenaventura,Cedral
Francisco Gloria,Cedral
La Candelaria,Cedral
La Concordia,Cedral
Noria de Dolores,Cedral
Noria de San Pedro,Cedral
Nueva Rosita,Cedral
Rancho las Vegas,Cedral
Rancho Maricar,Cedral
Rancho San Isidro,Cedral
Rancho San Martín,Cedral
Rancho Santa Martha,Cedral
Rancho Santa Rosa,Cedral
San Francisco,Cedral
San Ignacio del Carmen,Cedral
San José de la Porra,Cedral
San José del Ramillete,Cedral
Santa Fe,Cedral
Santa Isabel,Cedral
San Isidro,Cedral
Presa Verde,Cedral
Ejido Hidalgo,Cedral
Gallos Blancos,Cedral
El Mirador,Cedral
Mesa de los Molina,Cedral
Palo Blanco,Cedral
San Antonio del Sotol,Cedral
San Mateo,Cedral
El Llano del Pinto,Cedral
Casa Blanca (Majada Ejido Zamarripa),Cedral
La Candelaria,Cedral
La Joya,Cedral
La Joyita,Cedral
Rancho Nuevo,Cedral
Santa Catarina,Cedral
Santa Rita del Sotol,Cedral
Tanque Nuevo,Cedral
San Lorenzo,Cedral
Zamarripa,Cedral
La Pinta,Cedral
El Espíritu,Cedral
El Saucito,Cedral
Héctor Ávila,Cedral
La Boquilla,Cedral
La Estancia,Cedral
La Rinconada,Cedral
Lagunillas,Cedral
Loma Linda,Cedral
Los Orozco,Cedral
Perpetuo Socorro,Cedral
Progreso,Cedral
Rancho San Benito,Cedral
Rancho San Francisco,Cedral
Rancho Viejo,Cedral
Refugio de Saladito,Cedral
Saltillito,Cedral
San Antonio de los Montoya,Cedral
San Rafael,Cedral
San Rafael de los Facundos,Cedral
Cerro de Flores,Cedral
San Pablo,Cedral
Salitrillos del Refugio,Cedral
Jesús María,Cedral
El Cuarejo,Cedral
La Crucita,Cedral
El Saladito,Cedral
La Esperanza,Cedral
El Carmen,Cedral
El Pequeño,Cedral
El Sauz,Cedral
Entronque del Real,Cedral
Fraccionamiento Llanos de San Gabriel,Cedral
La Cruz,Cedral
Rancho el Cono del Progreso,Cedral
Rancho la Rinconada,Cedral
Rancho Santo Domingo,Cedral
Rancho Vallarta,Cedral
Santa Teresa,Cedral
El Blanco,Cedral
Refugio de las Monjas,Cedral
Castañón,Catorce
Los Azules,Catorce
Los Pames,Catorce
Santa María del Refugio,Catorce
Charco Largo,Catorce
El Tecolote,Catorce
La Borrega,Catorce
Las Amapolas,Catorce
Rancho Nuevo,Catorce
Cerrito de la Piedra,Catorce
El Rayito,Catorce
La Mesa,Catorce
Los Negritos,Catorce
San Francisco del Refugio,Catorce
Valle Verde,Catorce
La Cardoncita,Catorce
Tanque de Arenas,Catorce
El Duraznillo,Catorce
Las Cabecitas,Catorce
Tanque Charco Cercado,Catorce
Tanque de Dolores,Catorce
Ejido las Lechuzas [COPLAMAR],Catorce
El Pozo Viejo,Catorce
El Refugio de Coronados,Catorce
Lavaderos,Catorce
Loma Blanca,Catorce
Perros Duros,Catorce
San Rafael de Torres,Catorce
Estación Catorce,Catorce
Estación Wadley,Catorce
Boquilla de Barrabás,Catorce
Cerrito Blanco,Catorce
Las Margaritas,Catorce
Real de Catorce,Catorce
Camposanto,Catorce
Guadalupe,Catorce
Purísima (Coyotera),Catorce
Agua Blanca,Catorce
Desmontes de Catorce (Los Tahonitas),Catorce
El Salto,Catorce
La Cañada,Catorce
La Palma,Catorce
La Pila,Catorce
Las Auras,Catorce
Los Catorce,Catorce
Los Cuatro Caminos,Catorce
Ojo de Agua,Catorce
Poblazón,Catorce
Refugio de los Amayas,Catorce
San José de los Quintos,Catorce
San José de Milpitas,Catorce
Viborillas,Catorce
San Cristóbal,Catorce
El Espolón,Catorce
Mina de Concepción,Catorce
Potrerillos,Catorce
San Antonio de la Cruz,Catorce
Tahonitas del Salto,Catorce
El Potrero,Catorce
El Refugio (La Luz),Catorce
El Barranco,Catorce
El Garabato,Catorce
La Leona,Catorce
Las Adjuntas,Catorce
Las Relaciones,Catorce
San Juan de Matanzas,Catorce
El Mastranto,Catorce
Alamitos de los Díaz,Catorce
Santa Cruz de Carretas,Catorce
Jesús de Coronados,Catorce
Vigas de Coronados,Catorce
San José de Coronados,Catorce
San Antonio de Coronados,Catorce
Guadalupe del Carnicero (La Maroma),Catorce
Ranchito de Coronados,Catorce
Alamaritos de Coronados,Catorce
Becerras,Catorce
Bedao,Catorce
El Jordán,Catorce
El Magueyal,Catorce
El Oreganal,Catorce
El Pastor de Coronados,Catorce
El Puerto de San Jacobo,Catorce
El Vergel,Catorce
La Alberca,Catorce
La Cieneguita de Sosa,Catorce
La Lagunita (Maguey Mocho),Catorce
La Milpita,Catorce
Las Adjuntas,Catorce
Los Huíngaros,Catorce
Los Ojitos de Agua,Catorce
Los Rayos,Catorce
Mesa del Venado,Catorce
Real de Maroma,Catorce
Tahonas del Jordán,Catorce
Tierras Negras,Catorce
El Huizachal,Catorce
La Cantera,Catorce
Las Sevillas,Catorce
Santa Cruz del Mogote,Catorce
Cañada Verde,Charcas
Emiliano Zapata (Las Canteras),Charcas
Ceferino Sánchez Ontiveros,Charcas
Ejido Juárez Dos,Charcas
Fernando López Bustos,Charcas
Francisco González,Charcas
La Clarinera (Antonio Aldape),Charcas
La Joyita (Los Corrales),Charcas
Las Isabeles,Charcas
Los Corrales,Charcas
Pedro Aguilar,Charcas
María Félix Nerio Aguilar,Charcas
Rebombeo del Cerrito de Tunas,Charcas
San Francisco de los Ejidos,Charcas
IMMSA [Mina Tiro General],Charcas
Congregación de Dolores (Las Quince Letras),Charcas
Ejido Juárez,Charcas
El Rincón (Timoteo Pérez),Charcas
Jorge Castañeda,Charcas
La Medalla,Charcas
La Zapatilla,Charcas
Las Tinajitas,Charcas
Los Gavilanes,Charcas
Los Jaboncillos,Charcas
Los López,Charcas
Rincón Verde,Charcas
San Onofre,Charcas
Pocitos,Charcas
Charco Prieto,Charcas
Efraín González Galván,Charcas
El Reventón,Charcas
El Saucito,Charcas
Gregorio González López,Charcas
Las Ánimas,Charcas
Noria de Guadalupito,Charcas
Puerta la Verdolaga,Charcas
San Francisco de los Álamos,Charcas
Elorza,Charcas
Fátima,Charcas
Ignacio Aldama,Charcas
La Embargada,Charcas
Rancho los Álamos,Charcas
San Francisco,Charcas
San José,Charcas
Tanque de Don Santiago,Charcas
Álvaro Obregón (Estación los Charcos),Charcas
Santa Ana de Zaragoza,Charcas
Laborcilla,Charcas
Cerro Prieto,Charcas
El Clérigo,Charcas
El Rastrero (La Noria),Charcas
Juan Hernández,Charcas
Los Callejones,Charcas
Rancho el Caño,Charcas
Rancho el Rodeo,Charcas
San Julián Santa María,Charcas
Tanque de Santa Ana,Charcas
Noria de Gutiérrez (José María Morelos),Charcas
Chupaderos,Charcas
San Antonio de las Huertas,Charcas
San Rafael,Charcas
Buenavista,Charcas
El Águila,Charcas
El Lucero,Charcas
El Membrillo,Charcas
El Orito,Charcas
El Pame,Charcas
El Perdido,Charcas
El Sauz,Charcas
El Tepozán,Charcas
El Terrero (Ejido Charcas),Charcas
Fracción el Capulín,Charcas
Fracción Palmas (Palmas),Charcas
Garabatillo,Charcas
Gualupe,Charcas
Guapilillas,Charcas
La Estancia,Charcas
La Laguna de los Caballos,Charcas
La Negrita,Charcas
La Sancheña,Charcas
La Trinidad,Charcas
Labor de la Cruz,Charcas
Majada las Tordillas,Charcas
Morelos,Charcas
Nopales Altos,Charcas
Noria Pinta,Charcas
Pame (El Llano),Charcas
Pro Año,Charcas
Puerto de Ramos,Charcas
Puerto del Lechuguillero,Charcas
Rancho Alegre,Charcas
Rincón Blanco,Charcas
San Diego,Charcas
San José,Charcas
Tunalillo,Charcas
El Cedazo,Charcas
San Juan del Tuzal,Charcas
Majadita Blanca,Charcas
El Bajío,Charcas
El Rayo,Charcas
Salitrillos,Charcas
San Antonio,Charcas
San Martín,Charcas
Tinajuelas,Charcas
Cerro Prieto,Charcas
Calabacillas,Charcas
Charco Verde,Charcas
El Zacatonal,Charcas
Genaro Bustos Ramírez,Charcas
La Barranca,Charcas
Nabor Moreno,Charcas
Paso del Mezquite (Cerro Blanco),Charcas
San Felipe,Charcas
Santa Cruz,Charcas
Lo de Acosta,Charcas
San Antonio de la Puente,Charcas
Cañón de Lajas,Charcas
Cerro Gordo,Charcas
Clavellina,Charcas
El Malpaso,Charcas
El Saucito,Charcas
El Tucanazo,Charcas
Elidio Lázaro Esquivel,Charcas
Hermelinda Moreno Sánchez,Charcas
Isidro Cázares Rodríguez,Charcas
Joaquín Cansino,Charcas
La Quinta (La Hacienda),Charcas
Los Aguilares,Charcas
Los San Pedros,Charcas
Noria del Cerro Gordo,Charcas
Salinillas,Charcas
San Elías,Charcas
San Francisco de Asís del Campo Real,Charcas
San José de la Cruz,Charcas
Vicente Guerrero (Las Escobas),Charcas
Estación Laguna Seca,Charcas
Miguel Hidalgo,Charcas
Francisco I. Madero,Charcas
Aquiles Serdán,Charcas
El Astillero,Charcas
El Entronque,Charcas
Estación Berrendo,Charcas
La Cueva de la Nicha,Charcas
San Joaquín,Charcas
Coyotillos,Charcas
El Hospital,Charcas
Cerrito de Piedras,Charcas
Cerro Blanco,Charcas
Coyotillillos,Charcas
El Arenal,Charcas
El Frailesco,Charcas
El Macareno,Charcas
El Refugio,Charcas
Fabián Bernal,Charcas
Francisco Bernal,Charcas
Francisco Bustos,Charcas
Juan Bernal,Charcas
Lajas,Charcas
Las Atravesadas,Charcas
Las Palomas,Charcas
Lo de Acosta (La Pulga),Charcas
Los Álamos,Charcas
Majada de Chon,Charcas
Potrero Lo de Acosta (Mala Noche),Charcas
Ricardo Bernal,Charcas
Sacramento Arellano,Charcas
Tanque San Bartolo,Charcas
Vidal Moreno,Charcas
La Presa,Charcas
El Rosario,Charcas
Juan Ramírez,Charcas
